/Users/macbook/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:25:28 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:26:13 CET)" (scheduled at 2026-02-05 10:25:28.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:26:13 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:26:58 CET)" (scheduled at 2026-02-05 10:26:13.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:26:58 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:27:43 CET)" (scheduled at 2026-02-05 10:26:58.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:27:43 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:28:28 CET)" (scheduled at 2026-02-05 10:27:43.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:28:28 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:29:13 CET)" (scheduled at 2026-02-05 10:28:28.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:29:13 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:29:58 CET)" (scheduled at 2026-02-05 10:29:13.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:29:58 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:30:43 CET)" (scheduled at 2026-02-05 10:29:58.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:30:43 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:31:28 CET)" (scheduled at 2026-02-05 10:30:43.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:31:28 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:32:13 CET)" (scheduled at 2026-02-05 10:31:28.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:32:13 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:32:58 CET)" (scheduled at 2026-02-05 10:32:13.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:32:58 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:33:43 CET)" (scheduled at 2026-02-05 10:32:58.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:33:43 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:34:28 CET)" (scheduled at 2026-02-05 10:33:43.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:34:28 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:35:13 CET)" (scheduled at 2026-02-05 10:34:28.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:35:13 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:35:58 CET)" (scheduled at 2026-02-05 10:35:13.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:35:58 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:36:43 CET)" (scheduled at 2026-02-05 10:35:58.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:36:43 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:37:28 CET)" (scheduled at 2026-02-05 10:36:43.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:37:28 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:38:13 CET)" (scheduled at 2026-02-05 10:37:28.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:38:13 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:38:58 CET)" (scheduled at 2026-02-05 10:38:13.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:38:58 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:39:43 CET)" (scheduled at 2026-02-05 10:38:58.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:39:43 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:40:28 CET)" (scheduled at 2026-02-05 10:39:43.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:40:28 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:41:13 CET)" (scheduled at 2026-02-05 10:40:28.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:41:13 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:41:58 CET)" (scheduled at 2026-02-05 10:41:13.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:41:58 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:42:43 CET)" (scheduled at 2026-02-05 10:41:58.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:42:43 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:43:28 CET)" (scheduled at 2026-02-05 10:42:43.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:43:28 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:44:13 CET)" (scheduled at 2026-02-05 10:43:28.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:44:13 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:44:58 CET)" (scheduled at 2026-02-05 10:44:13.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:44:58 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:45:43 CET)" (scheduled at 2026-02-05 10:44:58.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:45:43 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:46:28 CET)" (scheduled at 2026-02-05 10:45:43.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:46:28 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:47:13 CET)" (scheduled at 2026-02-05 10:46:28.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:47:13 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:47:58 CET)" (scheduled at 2026-02-05 10:47:13.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:47:58 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:48:43 CET)" (scheduled at 2026-02-05 10:47:58.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:48:43 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:49:28 CET)" (scheduled at 2026-02-05 10:48:43.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:49:28 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:50:13 CET)" (scheduled at 2026-02-05 10:49:28.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:50:13 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:50:58 CET)" (scheduled at 2026-02-05 10:50:13.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:50:58 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:51:43 CET)" (scheduled at 2026-02-05 10:50:58.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:51:43 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:52:28 CET)" (scheduled at 2026-02-05 10:51:43.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:52:28 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:53:13 CET)" (scheduled at 2026-02-05 10:52:28.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:53:13 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:53:58 CET)" (scheduled at 2026-02-05 10:53:13.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:53:58 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:54:43 CET)" (scheduled at 2026-02-05 10:53:58.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:54:43 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:55:28 CET)" (scheduled at 2026-02-05 10:54:43.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:55:28 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:56:13 CET)" (scheduled at 2026-02-05 10:55:28.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:56:13 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:56:58 CET)" (scheduled at 2026-02-05 10:56:13.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:56:58 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:57:43 CET)" (scheduled at 2026-02-05 10:56:58.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:57:43 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:58:28 CET)" (scheduled at 2026-02-05 10:57:43.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:58:28 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:59:13 CET)" (scheduled at 2026-02-05 10:58:28.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:59:13 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:59:58 CET)" (scheduled at 2026-02-05 10:59:13.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:59:58 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 11:00:43 CET)" (scheduled at 2026-02-05 10:59:58.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 11:00:43 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 11:01:28 CET)" (scheduled at 2026-02-05 11:00:43.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 11:01:28 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 11:02:13 CET)" (scheduled at 2026-02-05 11:01:28.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 11:02:13 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 11:02:58 CET)" (scheduled at 2026-02-05 11:02:13.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 11:02:58 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 11:03:43 CET)" (scheduled at 2026-02-05 11:02:58.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 11:03:43 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 11:04:28 CET)" (scheduled at 2026-02-05 11:03:43.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 11:04:28 CET)" executed successfully
